Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Fragments,Isotopic Distribution,Assigned MF,Confidence Level,Mass Error (ppm),CCS Error (%),RT Error (abs),35 2286 - Serum.d.DeMP, 38 2182 - Serum.d.DeMP, 41 2187 - Serum.d.DeMP, 44 2854 - Serum.d.DeMP, 47 2911 - Serum.d.DeMP, 125 1777 - Serum.d.DeMP, 128 1821 - Serum.d.DeMP, 131 1673 - Serum.d.DeMP, 134 1894 - Serum.d.DeMP, 137 3330 - Serum.d.DeMP, 80 2003 - Serum.d.DeMP, 86 2046 - Serum.d.DeMP, 89 2889 - Serum.d.DeMP, 92 3021 - Serum.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,5804,6,19.72,151.6,229.0532,,,,,,,,0,622.999,0,6837.999,1733.999,523.999,933.999,22412.999,737.999,0,0,1091.999,529.999,2679.999,71.4,2545
No Match,None,unmatched,296,6.4,17.49,133.4,264.8899,,,,,,,,2032.999,1970.999,1981.999,5537.999,1810.999,2347.999,1498.999,2949.999,3012.999,3824.999,2528.999,2130.999,2307.999,0,92.9,2269
No Match,None,unmatched,1534,0.7,17.62,136.7,195.0518,,,,,,,,2743.999,4107.999,0,3925.999,1525.999,1122.999,5956.999,890.999,731.999,0,3591.999,0,0,7042.999,71.4,2114
PFHpS (M-H),CCS Library,likely,2043,9.3,21.21,158.6,448.9316,,,,,-4.12,-0.42,N/A,928.999,1847.999,4924.999,2909.999,0,1190.999,1285.999,2553.999,1886.999,508.999,4769.999,5527.999,2274.999,0,85.7,2047
No Match,None,unmatched,337,0.7,16.87,130.4,204.9796,79.9581 (SO3),,C4H4F3O4S,4,,,,832.999,0,0,3651.999,5391.999,5776.999,4465.999,0,830.999,3791.999,4994.999,0,0,0,57.1,1986
No Match,None,unmatched,340,4,27.15,202,513.0871,,,,,,,,1522.999,0,0,0,0,0,1078.999,1322.999,21867.999,0,0,0,1038.999,2885.999,42.9,1984
PFNA (M-H-CO2),CCS Library,likely,351,10.3,19.64,147.2,418.9719,,,,,-3.58,0.14,N/A,0,2048.412951,3313.412951,2485.412951,1540.412951,2459.412951,2386.412951,2356.412951,1970.412951,662.4129508,1642.412951,4146.412951,703.4129508,0,85.7,1720
No Match,None,unmatched,393,9.2,22.93,172.5,366.8992,,3 Cl,"C8H5Cl3F6OP, C8H8Cl3F5PS",5,,,,0,1308.999,5968.999,0,0,0,0,17333.999,0,0,0,0,0,0,21.4,1642
No Match,None,unmatched,415,2,15.39,121.5,153.0185,,,,,,,,994.999,2984.999,0,1249.999,885.999,1817.999,4123.999,756.999,734.999,0,7967.999,722.999,885.999,988.999,85.7,1613
No Match,None,unmatched,423,6.8,17.91,135.7,310.8367,,2Br,C4O5Br2FH4,2,,,,3156.999,3223.999,0,0,3424.999,0,0,0,0,0,5270.999,4556.999,3421.999,618.999,50,1582
No Match,None,unmatched,429,5.9,17.05,131.3,220.9391,,,,,,,,841.999,1422.999,1783.999,2555.999,1330.999,1397.999,1653.999,1969.999,2302.999,2921.999,1218.999,1860.999,1517.999,525.999,100,1560
No Match,None,unmatched,438,0.6,16.3,127.4,173.986,,,,,,,,0,848.999,0,5121.999,4150.999,0,5075.999,0,0,0,5940.999,0,696.999,0,42.9,1459
No Match,None,unmatched,484,3.5,23.09,173.8,359.0795,,,,,,,,2770.999,1181.999,1093.999,2429.999,612.999,0,917.999,768.999,962.999,0,4335.999,814.999,1088.999,2260.999,85.7,1288
"5,5,6,6,7,7,8,8,9,9,10,10,10-Tridecafluorodecan-1-ol",Suspects Library,tentative,537,0.2,22.94,172.2,391.0319,,,,,-12.42,N/A,N/A,0,797.999,3799.999,1047.999,926.999,879.999,854.999,535.999,2105.999,1394.999,1371.999,544.999,2126.999,0,85.7,1098
No Match,None,unmatched,693,0.5,20.25,154.1,277.0726,,,,,,,,1083.999,756.999,514.999,818.999,2325.999,1750.999,1629.999,731.999,1330.999,1528.999,532.999,1115.999,709.999,831.999,100,1051
No Match,None,unmatched,551,7,20.27,154.9,253.082,,,,,,,,1320.999,4416.999,1832.999,621.999,0,1455.999,1192.999,0,696.999,1195.999,510.999,0,2036.999,0,71.4,1024
No Match,None,unmatched,567,6.8,17.05,131.3,221.9537,,,,,,,,753.999,0,609.999,1346.999,1152.999,530.999,2659.999,646.999,1556.999,2106.999,767.999,780.999,0,2335.999,85.7,1022
No Match,None,unmatched,553,2.3,18.89,145.1,230.0109,,,,,,,,0,630.999,2506.999,0,0,2470.999,1824.999,0,6069.999,0,0,1565.999,0,0,42.9,1008
No Match,None,unmatched,2331,0.6,17.94,139.1,197.0673,,,,,,,,1197.999,2656.999,778.999,870.999,973.999,557.999,1543.999,568.999,962.999,0,2738.999,0,865.999,691.999,85.7,966
No Match,None,unmatched,634,1.8,15.9,126.2,142.0659,,,,,,,,882.999,510.999,1182.999,892.999,910.999,1238.999,1228.999,830.999,728.999,2143.999,0,1095.999,925.999,689.999,92.9,891
No Match,None,unmatched,603,4.9,17.22,131,278.9137,,,,,,,,644.999,0,593.999,1847.999,1105.999,2024.999,2058.999,1328.999,0,664.999,1561.999,713.999,698.999,0,78.6,888
No Match,None,unmatched,699,3.5,27.59,205.1,555.0246,,,,,,,,5354.999,0,0,984.999,0,0,3958.999,1155.999,0,0,0,0,0,0,28.6,766
No Match,None,unmatched,721,6.4,17.5,133.4,266.8879,"Actually the 264 peak, see supplemental Fig XX for full structure","1 Br, 1Cl",C4H5FClBrO6,2,,,,0,0,2852.999,0,2386.999,3446.999,2072.999,0,0,0,0,0,0,569.999,35.7,758
No Match,None,unmatched,1966,2.1,16.19,127.3,161.0238,,,,,,,,4329.999,765.999,0,0,0,0,1529.999,849.999,914.999,0,0,0,2485.999,0,42.9,728
No Match,None,unmatched,2368,13.4,18.94,144.5,263.0324,,,,,,,,555.999,1531.999,869.999,1381.999,0,1382.999,523.999,1261.999,992.999,0,0,1031.999,0,1252.999,71.4,724
No Match,None,unmatched,748,0.4,15.35,121.3,151.0251,,,,,,,,501.999,552.999,586.999,782.999,932.999,835.999,1109.999,529.999,659.999,1436.999,678.999,868.999,947.999,0,92.9,701
No Match,None,unmatched,878,0.8,17.09,133,188.0006,,,,,,,,3502.999,933.999,0,0,1095.999,0,1469.999,0,927.999,0,1454.999,0,0,0,42.9,629
No Match,None,unmatched,1728,4.3,19.1,147.4,213.0208,,,,,,,,0,641.999,1475.999,1003.999,646.999,686.999,613.999,0,1017.999,1394.999,0,0,1598.999,0,64.3,610
No Match,None,unmatched,745,0.2,21.31,160.9,333.0267,,,,,,,,0,0,1185.999,0,653.999,591.999,616.999,0,1350.999,1183.999,1039.999,0,1866.999,0,57.1,570
No Match,None,unmatched,3365,1.4,18.55,143.2,211.0826,,,,,,,,709.999,0,0,1235.999,578.999,0,2690.999,0,0,0,1047.999,0,0,2025.999,42.9,556
No Match,None,unmatched,1001,2.6,19.72,150.2,273.0065,,,,,,,,0,0,0,1315.999,2492.999,0,2653.999,0,0,0,1018.999,0,0,0,28.6,501
No Match,None,unmatched,1020,4,21.08,160.2,285.0639,,,,,,,,0,503.999,508.999,631.999,626.999,523.999,725.999,787.999,0,719.999,613.999,764.999,876.999,0,78.6,491
No Match,None,unmatched,956,1.1,18.28,142.7,178.0504,,,,,,,,1091.999,0,0,0,1479.999,533.999,0,0,1731.999,0,1933.999,0,0,0,35.7,454
No Match,None,unmatched,2317,8.7,18.1,138.1,264.835,,,,,,,,1238.999,0,0,0,0,0,772.999,0,0,0,2995.999,0,1640.999,0,28.6,445
No Match,None,unmatched,984,4,18.38,142,209.0785,,,,,,,,0,0,0,551.999,525.999,527.999,795.999,796.999,504.999,756.999,608.999,765.999,671.999,0,71.4,439
PFPeS (M-H),CCS Library,likely,1036,7.1,18.85,142.2,348.9375,,,,,-6.59,-0.03,N/A,1930.999,0,0,520.999,0,741.999,962.999,0,0,882.999,0,0,1225.999,0,42.9,421
No Match,None,unmatched,5979,3,25.14,188.1,439.0696,,,,,,,,2160.999,0,0,0,0,0,815.999,3310.999,0,0,0,0,0,0,21.4,421
No Match,None,unmatched,3468,8.7,18.12,138.2,266.8322,,,,,,,,800.999,0,0,2441.999,0,0,0,0,0,0,1992.999,0,1026.999,0,28.6,419
No Match,None,unmatched,1152,6.3,25.54,191.1,437.0546,,,,,,,,0,0,594.999,0,0,0,1568.999,3796.999,0,0,0,0,0,0,21.4,399
No Match,None,unmatched,1137,3.2,26.73,198.8,541.0079,,,,,,,,2394.999,0,0,0,0,0,797.999,2740.999,0,0,0,0,0,0,21.4,397
No Match,None,unmatched,1074,2.6,16.37,129.4,151.0394,,,,,,,,611.999,706.999,0,510.999,0,948.999,632.999,0,2371.999,0,0,0,0,0,42.9,388
PFBS (M-H),CCS Library,likely,1015,5.4,17.6,133.6,298.9413,,,,,-5.69,-0.05,N/A,0,0,785.999,0,0,0,0,0,0,814.999,3261.999,0,0,622.999,28.6,368
No Match,None,unmatched,1025,4.1,17.6,133.6,295.8372,,2 Br,,5,,,,3430.999,0,0,0,0,0,0,655.999,0,1335.999,0,0,0,0,21.4,363
No Match,None,unmatched,1094,2.6,20.34,155.7,245.0479,,,,,,,,984.999,0,0,1069.999,1266.999,0,0,1362.999,0,0,0,513.999,0,0,35.7,349
No Match,None,unmatched,1201,3.4,21.31,162.1,283.0273,,,,,,,,0,0,0,1345.999,1421.999,0,1119.999,0,0,0,1162.999,0,0,0,28.6,339
No Match,None,unmatched,1254,0.2,22.61,170.1,375.0367,,,,,,,,0,675.999,0,0,1501.999,0,929.999,0,542.999,0,0,0,588.999,607.999,42.9,326
No Match,None,unmatched,1227,3,19.53,150.2,226.0174,,,,,,,,0,0,1520.999,0,0,0,659.999,0,2006.999,0,0,550.999,0,0,28.6,318
No Match,None,unmatched,1259,6.8,17.06,131.4,223.9518,,,,,,,,0,0,595.999,1352.999,1299.999,721.999,0,0,0,0,737.999,0,0,0,35.7,316
No Match,None,unmatched,6180,3.9,18.88,145.4,223.005,,,,,,,,0,1471.999,0,757.999,607.999,0,551.999,731.999,0,0,0,0,518.999,0,42.9,312
No Match,None,unmatched,1458,5.9,17.06,131.4,222.936,,,,,,,,648.999,952.999,0,0,866.999,0,0,0,0,0,776.999,1063.999,0,0,35.7,290
No Match,None,unmatched,1232,3.1,19.66,150.9,232.994,,,,,,,,1204.999,0,613.999,1233.999,1176.999,0,0,0,0,0,0,0,0,0,28.6,284
No Match,None,unmatched,2095,1.7,13.45,105.8,160.8407,,,,,,,,2353.999,1008.999,0,0,0,0,0,0,0,0,724.999,0,0,0,21.4,274
No Match,None,unmatched,1266,4.4,17.02,131.4,210.9451,,,,,,,,0,0,0,1027.999,0,899.999,1488.999,0,0,0,629.999,0,0,0,28.6,272
PFDA (M-H-CO2),CCS Library,likely,778,11,20.85,155.7,468.9678,,,,,-5.12,0.28,N/A,0,0,557.7549931,922.7549931,0,559.7549931,0,666.7549931,0,0,0,1014.754993,0,0,35.7,250
No Match,None,unmatched,1552,13.9,18.32,140.7,232.0458,,,,,,,,0,535.999,0,598.999,0,693.999,0,562.999,0,0,0,504.999,0,600.999,42.9,236
No Match,None,unmatched,1114,13.2,20.9,159,283.0683,,,,,,,,0,1061.999,0,897.999,0,0,0,0,0,0,0,0,866.999,511.999,28.6,225
No Match,None,unmatched,1340,5.5,19.48,149.7,227.0379,,,,,,,,0,0,0,0,0,0,0,0,699.999,0,1864.999,0,0,732.999,21.4,221
No Match,None,unmatched,949,14.1,18.94,144.5,263.0325,,,,,,,,0,819.999,0,0,0,1141.999,0,569.999,0,0,0,646.999,0,0,28.6,214
No Match,None,unmatched,4843,10.9,19.13,145.4,287.0362,,,,,,,,0,0,0,0,0,0,0,866.999,0,0,0,578.999,776.999,846.999,28.6,207
No Match,None,unmatched,1573,8.2,19.86,149.7,353.8246,,,,,,,,0,1480.999,0,0,0,0,0,786.999,0,0,0,695.999,0,0,21.4,199
No Match,None,unmatched,1791,13.5,18.32,140.7,232.0461,,,,,,,,0,628.999,0,575.999,0,553.999,0,507.999,0,0,0,0,0,514.999,35.7,188
No Match,None,unmatched,1614,1.7,13.45,105.8,162.8377,,,,,,,,550.999,947.999,564.999,0,0,0,0,0,0,0,686.999,0,0,0,28.6,185
No Match,None,unmatched,1470,1.5,17.75,136.8,218.9957,,,,,,,,797.999,0,0,605.999,0,630.999,0,0,0,0,693.999,0,0,0,28.6,184
No Match,None,unmatched,2194,5.2,18.5,142.9,211.0387,,,,,,,,580.999,0,0,599.999,0,0,0,0,0,0,1156.999,0,0,0,21.4,157
No Match,None,unmatched,1807,4.4,17.04,131.4,212.9421,,,,,,,,0,0,0,682.999,0,555.999,969.999,0,0,0,0,0,0,0,21.4,149
No Match,None,unmatched,1743,4.9,16.3,127.8,165.9783,,,,,,,,0,0,0,0,0,0,580.999,0,0,0,0,576.999,588.999,0,21.4,118
No Match,None,unmatched,1947,1.9,18.63,143.7,212.001,,,,,,,,554.999,0,0,0,0,0,0,0,0,0,0,563.999,0,553.999,21.4,113
No Match,None,unmatched,1870,0.2,16.79,129.4,219.0104,,,,,,,,0,0,0,519.999,0,0,0,0,538.999,0,0,0,520.999,0,21.4,107
No Match,None,unmatched,1942,6.3,17.52,133.5,268.8846,,,,,,,,0,0,506.999,0,509.999,0,0,561.999,0,0,0,0,0,0,21.4,107
