Row,m/z,CCS,RT
6,146.9817,214.72,1.881
6,146.9819,215.31,2.107
6,146.9803,208.32,1.831
6,146.9817,211.41,1.822
6,146.9823,214.85,2.092
6,146.9807,208.85,1.699
6,146.9809,210.57,1.933
6,146.98,207.43,1.643
6,146.9823,209.81,1.746
6,146.9813,213.76,2.035
6,146.9803,214.57,1.87
6,146.9822,210.46,2.078
6,146.9821,215.47,2.041
6,146.981,214.04,1.848
6,146.9813,207.37,2.042
6,146.9821,207.38,1.842
6,146.9796,209.41,1.644
6,146.981,207.21,2.067
6,146.9823,207.23000000000002,1.911
6,146.9797,213.43,1.851
6,146.9814,211.37,1.847
6,146.9816,212.74,1.733
6,146.9798,214.37,2.107
6,146.9803,211.45000000000002,2.036
6,146.9807,214.70000000000002,1.765
6,146.9796,207.94,1.856
6,146.9815,207.69,2.103
6,146.9824,207.20000000000002,1.874
6,146.9809,208.91,1.904
6,146.9797,212.92000000000002,1.83
6,146.9817,208.95000000000002,1.884
6,146.9795,215.18,1.966
6,146.9804,208.54,2.122
6,146.9808,213.52,1.993
6,146.9821,209.9,1.65
6,146.98,209.32,1.77
6,146.9814,208.12,1.781
6,146.9816,215.17000000000002,1.949
6,146.9807,213.83,1.903
6,146.9817,212.27,1.689
6,146.9798,213.07,1.921
6,146.9809,213.16,1.729
6,146.9821,214.47,1.901
6,146.9806,210.92000000000002,1.922
6,146.9802,208.44,2.058
6,146.9812,212.49,2.026
6,146.9803,210.57,1.91
6,146.981,214.53,2.088
6,146.9822,208.52,1.76
6,146.9798,211.76,1.816
6,146.9804,211.57,2.111
6,146.9804,214.34,1.948
6,146.9821,211.34,2.101
6,146.9798,211.83,1.744
6,146.9821,212.34,1.95
4,146.981,231.97,0.623
4,146.9801,236.24,0.435
4,146.9814,233.63999999999996,0.815
4,146.9821,232.68,0.701
4,146.9796,231.04,0.399
4,146.9824,233.03,0.52
4,146.982,227.65,0.82
4,146.9818,233.17000000000002,0.584
4,146.981,229.53,0.458
4,146.9812,228.99,0.485
4,146.9823,231.57,0.633
4,146.9813,230.38,0.828
4,146.9797,228.74,0.819
4,146.9814,231.48000000000002,0.644
4,146.9824,233.91,0.47
4,146.98,235.17000000000002,0.521
4,146.9811,227.68,0.427
4,146.9799,228.03,0.55
4,146.981,233.93,0.629
4,146.9809,235.72,0.739
4,146.9817,230.55,0.461
4,146.9809,233.24,0.609
4,146.9802,235.55,0.5
4,146.9809,232.38999999999996,0.516
4,146.9817,227.35,0.525
4,146.9809,234.51,0.71
4,146.9821,228.77,0.448
4,146.9796,233.07,0.826
4,146.9797,232.58,0.852
4,146.982,229.44,0.744
4,146.9798,232.67000000000002,0.703
4,146.9823,229.01,0.763
4,146.9796,228.38999999999996,0.586
4,146.9801,236.46,0.561
4,146.9813,232.42000000000002,0.442
4,146.9796,235.84,0.809
4,146.9812,235.23000000000002,0.468
4,146.9822,232.18,0.412
4,146.9813,230.17000000000002,0.738
4,146.9803,230.3,0.777
4,146.981,236.35,0.858
4,146.9819,236.20000000000002,0.65
4,146.9807,233.4,0.396
4,146.9817,233.94,0.832
4,146.9817,231.59,0.409
4,146.98,233.46,0.593
4,146.9798,229.79,0.505
4,146.9801,236.47,0.789
4,146.9813,231.28,0.506
4,146.9805,227.49,0.462
4,146.9818,236.51,0.697
4,146.9822,230.21,0.675
4,146.9806,231.21,0.598
4,146.9802,230.84,0.44
4,146.9797,230.36,0.792
4,146.9808,235.96,0.538
4,146.9795,232.08,0.62
4,146.98,233.04,0.716
4,146.9819,231.13,0.747
4,146.9816,233.55,0.695
4,146.9802,232.38,0.518
4,146.9807,229.58,0.454
4,146.98,229.73000000000002,0.444
4,146.9822,231.86,0.704
4,146.981,229.70000000000002,0.598
4,146.9798,236.01,0.406
4,146.9796,234.1,0.66
4,146.9819,231.95000000000002,0.411
4,146.9818,231.83,0.775
4,146.9817,236.19,0.395
4,146.9798,230.22,0.416
4,146.9823,227.97,0.79
4,146.9816,229.98000000000002,0.83
4,146.9817,232.52,0.63
4,146.9806,228.65,0.841
4,146.9818,235.06,0.842
4,146.9799,232.20000000000002,0.763
4,146.9813,230.4,0.577
4,146.9796,229.68,0.647
4,146.9807,229.03,0.775
4,146.9811,235.58,0.681
4,146.9808,231.18,0.659
4,146.9809,235.36,0.639
4,146.9812,235.22,0.79
4,146.9808,234.81,0.429
4,146.9809,231.67000000000002,0.869
4,146.981,234.49,0.542
4,146.9807,234.29,0.449
4,146.9802,230.09,0.863
4,146.9815,231.69,0.527
4,146.9806,233.11,0.647
4,146.9809,234.72,0.85
4,146.9798,231.09,0.647
4,146.981,230.23000000000002,0.767
4,146.9822,229.07,0.517
4,146.9806,227.45000000000002,0.571
4,146.9809,229.54,0.821
4,146.9807,234.78,0.849
4,146.9803,230.17000000000002,0.784
4,146.9811,229.1,0.56
4,146.9801,228.15,0.853
11,146.9822,230.42000000000002,0.926
11,146.9835,233.29,0.949
11,146.9817,229.02,0.796
11,146.9825,232.53,0.805
11,146.981,231.75,1.172
11,146.9828,231.76,1.101
11,146.9836,228.05,0.791
11,146.981,226.12,0.877
11,146.9829,231.16,0.872
11,146.9819,228.03,1.039
11,146.9825,234.07,0.687
11,146.9814,227.70000000000002,0.873
11,146.9809,231.17000000000002,1.127
11,146.9818,229.66,0.891
11,146.9812,233.04,1.006
11,146.9819,226.58,1.17
11,146.9822,230.4,1.096
11,146.9825,229.63,0.786
11,146.9827,228.63999999999996,1.139
11,146.9811,226.21,0.756
11,146.9832,230.48000000000002,0.73
11,146.9811,234.29,0.914
11,146.9826,228.38,0.733
11,146.9819,231.46,0.968
11,146.9814,232.63999999999996,1.074
11,146.9826,227.07,0.957
11,146.9828,234.28,1.035
11,146.9827,227.44,0.961
11,146.9824,229.15,0.965
11,146.9812,226.38,0.941
11,146.9815,231.13,0.907
11,146.982,226.26,0.9
11,146.9814,233.93,1.08
11,146.9834,232.37,1.13
11,146.9812,226.23000000000002,0.691
11,146.9829,232.68,0.933
11,146.9827,232.33,0.813
11,146.9812,228.25,1.0
11,146.9835,231.27,1.155
11,146.9819,226.8,1.133
11,146.9811,230.55,0.963
11,146.9811,233.21,0.698
11,146.9832,234.24,1.028
11,146.9818,232.78,0.94
11,146.9831,230.98000000000002,1.043
11,146.9821,230.18,1.164
11,146.9831,229.31,0.983
11,146.9824,230.65,0.762
11,146.9835,232.13,1.141
11,146.9831,228.13999999999996,1.155
11,146.9828,226.95000000000002,1.082
11,146.9818,226.71,0.961
11,146.9834,233.55,1.093
11,146.9808,229.06,1.07
11,146.9831,229.38999999999996,0.9
11,146.9826,234.67000000000002,0.812
11,146.9823,233.03,0.916
11,146.9831,229.48000000000002,0.953
11,146.983,231.43,0.833
11,146.9812,225.99,1.087
11,146.9822,229.13,0.789
11,146.9837,232.12,0.789
11,146.9809,226.56,1.16
11,146.9808,227.6,1.163
11,146.9814,230.65,1.145
11,146.9815,227.20000000000002,0.798
11,146.9819,233.35,0.945
11,146.9821,229.53,0.871
11,146.9819,230.54,1.158
11,146.9817,234.20000000000002,0.938
11,146.9833,231.21,1.067
11,146.9833,229.83,0.722
11,146.9826,231.93,1.141
11,146.9816,227.78,0.846
11,146.981,227.37,1.006
11,146.9808,232.54,0.887
11,146.981,226.05,0.898
11,146.9825,227.75,0.917
11,146.9818,230.07,1.015
11,146.9823,228.96,0.957
11,146.9812,230.4,1.173
11,146.983,228.97,0.823
11,146.982,233.27,0.733
11,146.9815,234.92000000000002,0.88
11,146.9821,226.06,0.731
11,146.9809,227.59,0.93
11,146.9812,232.17000000000002,1.098
11,146.9825,228.53,0.885
11,146.9813,234.76,0.864
11,146.9825,235.0,1.072
11,146.9818,227.25,0.875
11,146.9824,231.96,0.77
11,146.9809,229.72,0.784
11,146.9821,229.73000000000002,0.838
11,146.9817,229.08,0.689
11,146.9829,233.6,1.161
11,146.9831,226.35,1.158
11,146.9835,231.59,0.762
11,146.9831,229.13999999999996,0.834
11,146.9813,234.98000000000002,0.714
11,146.982,230.59,0.857
