0.0063,,,0.01,0.01,0.02,0.04,0.04,0.04,0.02,0.07,0.06,0.04,0.07,0.06,0.07,0.07,0.06,0.01,0.06,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0059,,,0.01,0.01,0.02,0.02,0.02,,0.03,0.02,0.05,0.06,0.08,0.08,0.08,0.09,0.06,0.1,0.11,0.06,0.08,0.05,0.12,0.1,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0054,,0,,0.01,0.02,0.02,0.03,0.04,0.03,0.05,0.03,0.04,0.09,0.06,0.09,0.09,0.1,0.13,0.05,0.09,0.03,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005,,,,,0.03,0.04,0.03,0.03,0.06,0.03,0.09,0.06,0.04,0.09,0.09,0.07,0.08,0.07,0.09,0.11,0.11,0.11,,0.11,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0046,,,,0.01,0.02,0.01,0.03,0.02,0.05,0.05,0.04,0.1,0.06,0.06,0.09,0.1,0.09,0.07,0.1,0.09,0.14,0.11,0.06,0.09,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0041,,0.01,0.01,0.02,0.01,0.02,0.03,0.04,0.06,0.05,0.07,0.05,0.1,0.05,0.06,0.12,0.09,0.08,0.11,0.09,0.09,0.13,0.11,0.11,0.03,0.18,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0037,,,,0.02,0.02,0.03,0.02,0.03,0.05,0.05,0.06,0.04,0.04,0.1,0.06,0.05,0.08,0.08,0.08,0.12,0.1,0.17,0.09,0.09,,,,,0.1,0.01,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0033,,,0.02,0.03,0.03,0.04,0.04,0.03,0.05,0.05,0.07,0.06,0.06,0.06,0.11,0.08,0.06,0.1,0.12,0.11,0.1,0.13,0.1,0.08,0.1,0.09,,,0.08,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0028,,,0.01,0.02,0.02,0.03,0.04,0.03,0.06,0.05,0.04,0.08,0.06,0.06,0.07,0.11,0.07,0.06,0.09,0.13,0.1,0.12,0.11,0.09,0.17,0.14,0.07,0.08,0.1,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0024,,0,0.01,0.03,0.03,0.03,0.04,0.03,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.06,0.1,0.08,0.07,0.13,0.15,0.1,0.16,0.12,0.13,0.1,0.18,0.14,0.16,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,,,,,0.02,0.04,0.03,0.04,0.05,0.06,0.06,0.09,0.06,0.07,0.08,0.08,0.07,0.13,0.09,0.08,0.13,0.17,0.13,0.11,0.1,0.15,0.09,0.22,0.12,,,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,,,0.02,0.03,0.02,0.03,0.05,0.04,0.06,0.06,0.06,0.06,0.07,0.09,0.09,0.08,0.08,0.07,0.13,0.11,0.08,0.15,0.17,0.13,0.11,0.18,0.12,0.15,0.15,0.11,0.1,0.1,0.16,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0011,,,,0.02,0.03,0.03,0.04,0.05,0.03,0.05,0.07,0.06,0.08,0.08,0.08,0.09,0.09,0.08,0.1,0.16,0.09,0.1,0.14,0.17,0.13,0.08,0.12,0.2,0.11,0.1,0.15,0.19,0.27,,0.21,,0.12,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
0.0007,,,,0.03,0.04,0.05,0.05,0.04,0.06,0.06,0.06,0.07,0.06,0.08,0.11,0.07,0.11,0.11,0.08,0.1,0.15,0.13,0.1,0.12,0.18,0.16,0.14,0.18,0.12,0.08,0.2,0.15,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0002,,,,,,0.03,0.05,0.05,0.04,0.06,0.06,0.07,0.06,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.11,0.14,0.15,0.09,0.11,0.18,0.17,0.13,0.13,0.09,0.12,,0.15,0.12,0.07,0.06,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0002,,,,,,0.04,,0.03,0.04,0.06,0.07,0.06,0.07,0.09,0.1,0.1,0.07,0.1,0.12,0.08,0.1,0.11,0.18,0.1,0.13,0.13,0.16,0.16,0.11,0.13,0.14,0.17,0.16,0.1,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0007,,,,,,,,0.05,,0.04,0.05,0.09,0.08,0.08,0.09,0.09,0.08,0.12,0.11,0.15,0.11,0.14,0.12,0.18,0.09,0.12,0.16,0.21,0.16,0.13,0.08,0.16,0.13,0.2,0.18,0.17,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0011,,,,,,0.01,0.06,0.06,0.05,0.07,0.07,0.06,0.11,0.05,0.11,0.11,0.14,0.1,0.12,0.12,0.17,0.13,0.12,0.12,0.19,0.13,0.13,0.17,0.11,0.15,0.1,0.11,0.11,0.16,0.26,0.21,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0015,,,,,0.03,,0.03,0.01,0.07,0.07,0.06,0.1,0.08,0.07,0.09,0.1,0.11,0.08,0.14,0.12,0.16,0.12,0.12,0.12,0.15,0.14,0.14,0.16,0.13,0.18,0.15,0.14,0.18,0.27,0.18,0.12,0.1,0.16,,,,,,,0.33,,,,,,,,,,,,,,,,,,,
-0.002,,,,,,,0.03,0.03,0.03,0.07,0.03,0.11,0.09,0.09,0.1,0.11,0.1,0.11,0.13,0.13,0.11,0.16,0.16,0.16,0.14,0.16,0.12,0.16,0.12,0.16,0.14,0.2,0.2,0.19,0.23,0.22,0.2,0.11,,0.16,,0.22,,,,,,,,,,,,,,,,,,,,,,
-0.0024,,,,,,,,,,0.03,0.09,0.07,0.1,0.09,0.13,0.12,0.09,0.15,0.12,0.12,0.14,0.13,0.14,0.17,0.15,0.13,0.15,0.2,0.13,0.12,0.11,0.19,0.25,0.19,0.13,0.14,0.15,0.16,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0028,,,,,,,,,,,,0.04,0.04,0.09,0.09,0.1,0.12,0.1,0.16,0.17,0.13,0.18,0.16,0.16,0.14,0.14,0.18,0.19,0.17,0.1,0.13,0.18,0.21,0.16,0.17,0.21,0.2,,0.02,,0.2,,0,,,,,,,,,,,,,,,,,,,,,
-0.0033,,,,,,,,,,,,0.09,,0.09,0.05,0.07,0.07,0.08,0.09,0.12,0.14,0.15,0.11,0.2,0.21,0.12,0.13,0.18,0.12,0.11,0.14,0.14,0.19,0.22,0.26,0.17,0.18,0.18,0.21,0.12,0.23,,,,,,,,,,,,,,,,,,,,,,,
-0.0037,,,,,,,,,,,,,,,0.08,0.03,,0.09,0.09,0.09,0.06,0.09,0.11,0.12,0.15,0.09,0.17,0.17,0.14,0.18,0.2,0.12,0.15,0.23,0.21,0.2,0.2,0.19,0.12,0.15,0.29,0.21,0.09,0.21,0.38,0.1,,,,,,,,,,,,,,,,,,
-0.0041,,,,,,,,,,,,,,,,0.07,,,0.05,0.06,,0.06,0.08,,0.08,0.08,0.15,0.17,0.09,0.15,0.11,0.14,0.12,0.15,0.18,0.2,0.25,0.18,0.16,0.19,0.18,0.27,0.15,0.19,,,,,,,,,,,,,,,,,,,,
-0.0046,,,,,,,,,,,,,,,,,,,,0.05,,0.09,0.09,0.07,0.12,0.1,0.11,0.12,0.07,0.1,0.11,0.15,0.2,0.13,0.18,0.14,0.15,0.22,0.25,0.19,0.17,,0.12,,0.17,,0.24,,,0.11,,,,,,,,,,,,,,
-0.005,,,,,,,,,,,,,,,,,,,,0.07,0.09,,0.07,0.08,0.08,0.08,0.13,0.08,0.08,0.16,0.12,0.14,0.06,0.16,0.14,0.07,0.13,0.17,0.21,0.21,0.24,0.23,,,0.3,0.05,,,0.04,,,,,,,,,,,,,,,
-0.0054,,,,,,,,,,,,,,,,,,,,0.11,,,0.1,0.07,0.07,0.04,,0.16,0.15,0.17,0.14,0.18,0.1,0.15,0.11,0.13,0.07,0.13,0.17,0.2,0.21,0.17,0.18,0.21,,0.23,,,0.06,,,,,,,,,,,,,,,
-0.0059,,,,,,,,,,,,,,,,,,,,,,0.05,0.13,0.09,0.13,0.11,,0.16,0.06,0.11,0.15,0.14,0.22,0.19,0.21,0.11,0.2,0.19,0.08,0.18,0.19,0.21,0.07,0.12,,0.13,,,0.09,0.09,,,,,,,,,,,,,,
-0.0063,,,,,,,,,,,,,,,,,,,,,,0.07,,0.08,,0.06,,0.11,0.14,,0.15,0.15,0.15,0.11,0.15,0.14,0.17,0.17,0.16,0.18,0.17,0.21,0.23,0.31,0.03,0.15,,,0.04,,,,,,,,,,,,,,,
-0.0067,,,,,,,,,,,,,,,,,,,,,0.02,,,0.09,,0.07,,0.06,0.15,0.12,,0.16,0.12,0.17,0.09,0.19,0.11,0.17,0.1,0.25,0.15,0.15,0.22,0.24,0.26,,,,0.1,0.09,,,,,,,,,,,,,,
-0.0072,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,0.15,,,0.16,0.16,0.11,0.17,0.14,0.14,0.07,0.14,0.23,0.06,0.1,0.11,0.16,0.28,0.26,0.22,,0.22,,,,,0.09,,,,,,,,,,
-0.0076,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.16,0.1,0.05,0.17,0.19,0.1,0.09,0.15,0.18,0.17,0.08,0.16,0.13,0.16,0.1,0.1,0.15,0.23,,,,,,,,,,,,,,,,,,
-0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.05,0.11,0.17,0.2,0.11,0.24,0.17,0.12,0.19,0.09,0.15,0.03,0.09,0.1,0.19,0.14,0.04,,,,,,0.11,,,,,,,,,
-0.0085,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.04,,0.05,,0.13,,0.19,0.09,0.12,0.11,0.15,0.19,0.16,0.15,0.15,0.1,0.1,0.11,0.21,0.23,0.1,,,,,,,,,,,,,,,
-0.0089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,0.04,,0.09,0.08,0.17,0.09,0.15,0.25,0.11,0.11,0.09,0.13,0.2,,0.12,0.2,0.09,0.23,,0.16,,0.29,,,,,,,,,,
-0.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.09,0.08,0.08,0.08,0.14,0.16,0.13,0.08,,0.13,0.19,0.14,0.14,,0.11,0.05,0.29,0.24,,,,,,,,,,,,
-0.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.13,0.09,0.06,,0.18,0.18,0.14,0.16,0.19,0.17,0.12,0.04,,0.02,0.2,0.13,,0.1,0.21,,,,,,,,,,,,
-0.0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.02,,,0.08,0.05,0.12,0.18,0.09,0.2,0.1,0.14,,0.03,,,0.11,0.18,,0.06,,,,,,,0.3,,,,,
-0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.06,,,,0.13,0.13,0.17,,0.11,0.16,0.1,0.14,0.07,0.07,,0.02,0,,,,,,0.17,,,,,
-0.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.14,0.19,0.19,0.11,0.15,0.16,0.1,0.19,,0.08,0.08,0.2,,,0.15,0.13,0.3,0.24,,,,,,,,0.28
-0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.1,0.05,,,0.13,0.08,0.09,0.12,0.11,0.09,,,0.08,,,,,0.22,0.16,0.2,,,,,
-0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.09,0.04,,,,0.07,0.1,,,,0.15,,,,,,,,0.05,0,,,,,,,
-0.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,0.08,0.13,,0.15,,0.1,,,,0.07,,,,0.09,,0.13,,,0.1,,,,,,
-0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,0.09,,,,,,0.1,0.17,,,,,,,,0.03,,,0,,,,
-0.0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0,,,,0.04,0.03,,0.05,,0.14,0.05,0.08,,0.04,,,0.03,,,,0.22,,,,,,,,
-0.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.15,0.15,,,,,,,,,,,,,,,
-0.0141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,0.12,,,,0.02,,,,,,,,,,,
-0.0146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,0.07,,,,,,
-0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.07,,,,,,,,,,,,,,,,,,
