ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,11 2286 - Serum.d.DeMP, 12 2286 - Mitra.d.DeMP, 13 2286 - DBS.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
3049,13.923,30.595,268.2,59.0143,152,-1,1,1,56.1,,FALSE,13.923,30.595,268.2,59.0143,152,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,455,0.001,0.001,0.001
3963,13.937,33.263,291.59,59.0145,107,-1,1,1,53.3,,FALSE,13.937,33.263,291.59,59.0145,107,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,321,0.001,0.001,0.001
5295,16.378,28.345,248.49,59.0147,73,-1,1,2,71.4,,FALSE,16.378,28.345,248.49,59.0147,73,1,2,,,,,0,,0,,,,,16,up,84.243,0.001,145,73,0.001,0.001,0.001
3527,15.127,27.415,240.34,59.0148,125,-1,1,2,67.8,,FALSE,15.127,27.415,240.34,59.0148,125,1.01,2,,,,,0,,0,,,,,16,up,83.998,252,0.001,124,0.001,0.001,0.001
4421,10.33,29.201,255.99,59.0148,92,-1,1,1,63.2,,FALSE,10.33,29.201,255.99,59.0148,92,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,277,0.001,0.001,0.001
4976,13.845,31.115,272.76,59.0148,80,-1,1,1,34,,FALSE,13.845,31.115,272.76,59.0148,80,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,239,0.001,0.001,0.001
4861,13.9,29.178,255.79,59.015,82,-1,1,1,42.2,,FALSE,13.9,29.178,255.79,59.015,82,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,246,0.001,0.001,0.001
6504,15.85,28.984,254.09,59.0151,54,-1,1,1,32.7,,FALSE,15.85,28.984,254.09,59.0151,54,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,161,0.001,0.001,0.001,0.001
8128,12.963,27.809,243.79,59.0152,38,-1,1,1,51.7,,FALSE,12.963,27.809,243.79,59.0152,38,1.73,1,,,,,0,,0,,,,,16,up,62.61,113,0.001,0.001,0.001,0.001,0.001
7140,13.928,36.754,322.18,59.0157,47,-1,1,1,52.6,,FALSE,13.928,36.754,322.18,59.0157,47,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,141,0.001,0.001,0.001
5664,13.93,41.948,364.84,61.9877,65,-1,1,1,30.2,,FALSE,13.93,41.948,364.84,61.9877,65,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,196,0.001,0.001,0.001
7964,14.563,17.016,148.05,61.9878,39,-1,1,1,55.8,,FALSE,14.563,17.016,148.05,61.9878,39,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,117,0.001,0.001,0.001,0.001
9572,8.059,24.459,212.77,61.9879,27,-1,1,1,37.5,,FALSE,8.059,24.459,212.77,61.9879,27,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,82,0.001,0.001,0.001
1255,14.211,30.386,264.31,61.9882,472,-1,1,3,99.7,,FALSE,14.211,30.386,264.31,61.9882,472,0.87,3,,,,,0,,0,,,,,16,up,88.272,944,267,204,0.001,0.001,0.001
2492,15.83,28.838,250.85,61.9882,200,-1,1,3,97.5,,FALSE,15.83,28.838,250.85,61.9882,200,0.48,3,,,,,0,,0,,,,,16,up,97.782,109,191,299,0.001,0.001,0.001
5270,13.943,40.023,348.11,61.9882,73,-1,1,1,85,,FALSE,13.943,40.023,348.11,61.9882,73,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,219,0.001,0.001,0.001
6394,10.337,34.032,296.02,61.9882,55,-1,1,1,68.6,,FALSE,10.337,34.032,296.02,61.9882,55,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,165,0.001,0.001,0.001
7749,14.625,34.323,298.54,61.9882,41,-1,1,1,32.6,,FALSE,14.625,34.323,298.54,61.9882,41,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,124,0.001,0.001,0.001
8979,16.077,28.098,244.42,61.9882,31,-1,1,1,31.6,,FALSE,16.077,28.098,244.42,61.9882,31,1.73,1,,,,,0,,0,,,,,16,up,62.61,94,0.001,0.001,0.001,0.001,0.001
10807,15.217,45.747,397.88,61.9882,20,-1,1,1,30.1,,FALSE,15.217,45.747,397.88,61.9882,20,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,61,0.001,0.001,0.001,0.001
5761,12.893,30.465,265,61.9883,64,-1,1,2,48.5,,FALSE,12.893,30.465,265,61.9883,64,0.87,2,,,,,0,,0,,,,,16,up,88.177,0.001,89,103,0.001,0.001,0.001
9446,16.091,34.078,296.42,61.9883,28,-1,1,1,30.9,,FALSE,16.091,34.078,296.42,61.9883,28,1.73,1,,,,,0,,0,,,,,16,up,62.61,85,0.001,0.001,0.001,0.001,0.001
10040,15.85,44.212,384.53,61.9883,25,-1,1,1,59.9,,FALSE,15.85,44.212,384.53,61.9883,25,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,75,0.001,0.001,0.001
10395,16.133,22.229,193.39,61.9883,23,-1,1,1,37.8,,FALSE,16.133,22.229,193.39,61.9883,23,1.73,1,,,,,0,,0,,,,,16,up,62.61,68,0.001,0.001,0.001,0.001,0.001
1665,15.2,34.188,297.37,61.9884,334,-1,1,3,73.4,,FALSE,15.2,34.188,297.37,61.9884,334,0.87,3,,,,,0,,0,,,,,16,up,88.245,205,667,130,0.001,0.001,0.001
3401,14.814,33.962,295.4,61.9884,131,-1,1,2,83.9,,FALSE,14.814,33.962,295.4,61.9884,131,0.9,2,,,,,0,,0,,,,,16,up,87.403,0.001,227,165,0.001,0.001,0.001
3896,15.866,34.495,300.04,61.9884,109,-1,1,2,44.1,,FALSE,15.866,34.495,300.04,61.9884,109,0.96,2,,,,,0,,0,,,,,16,up,85.529,119,208,0.001,0.001,0.001,0.001
4262,15.324,32.079,279.03,61.9884,97,-1,1,3,54,,FALSE,15.324,32.079,279.03,61.9884,97,0.05,3,,,,,0,,0,,,,,16,up,100,103,95,94,0.001,0.001,0.001
4327,15.461,30.172,262.45,61.9884,95,-1,1,2,63.1,,FALSE,15.461,30.172,262.45,61.9884,95,0.88,2,,,,,0,,0,,,,,16,up,88.033,129,156,0.001,0.001,0.001,0.001
5443,15.368,33.219,288.94,61.9884,70,-1,1,2,41.9,,FALSE,15.368,33.219,288.94,61.9884,70,0.87,2,,,,,0,,0,,,,,16,up,88.387,104,105,0.001,0.001,0.001,0.001
5681,15.439,34.105,296.65,61.9884,65,-1,1,2,34.4,,FALSE,15.439,34.105,296.65,61.9884,65,0.87,2,,,,,0,,0,,,,,16,up,88.379,96,0.001,99,0.001,0.001,0.001
6793,14.513,35.815,311.52,61.9884,51,-1,1,2,81.2,,FALSE,14.513,35.815,311.52,61.9884,51,0.87,2,,,,,0,,0,,,,,16,up,88.373,75,0.001,78,0.001,0.001,0.001
8890,14.803,32.332,281.23,61.9884,32,-1,1,1,30.7,,FALSE,14.803,32.332,281.23,61.9884,32,1.73,1,,,,,0,,0,,,,,16,up,62.61,96,0.001,0.001,0.001,0.001,0.001
9610,11.965,29.818,259.37,61.9884,27,-1,1,1,30.1,,FALSE,11.965,29.818,259.37,61.9884,27,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,82,0.001,0.001,0.001,0.001
1247,11.473,32.194,280.04,61.9885,474,-1,1,2,99.5,,FALSE,11.473,32.194,280.04,61.9885,474,1.6,2,,,,,0,,0,,,,,16,up,65.945,1351,0.001,72,0.001,0.001,0.001
1736,13.846,32.544,283.08,61.9885,316,-1,1,1,99.7,,FALSE,13.846,32.544,283.08,61.9885,316,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,949,0.001,0.001,0.001
3209,9.523,30.046,261.35,61.9885,141,-1,1,3,75.5,,FALSE,9.523,30.046,261.35,61.9885,141,0.27,3,,,,,0,,0,,,,,16,up,99.685,131,109,184,0.001,0.001,0.001
3263,16.057,30.224,262.9,61.9885,138,-1,1,3,45.7,,FALSE,16.057,30.224,262.9,61.9885,138,0.24,3,,,,,0,,0,,,,,16,up,99.795,175,131,109,0.001,0.001,0.001
3937,14.733,31.386,273.01,61.9885,108,-1,1,3,63.7,,FALSE,14.733,31.386,273.01,61.9885,108,0.17,3,,,,,0,,0,,,,,16,up,99.942,91,104,128,0.001,0.001,0.001
4533,14.312,32.05,278.78,61.9885,90,-1,1,3,47.2,,FALSE,14.312,32.05,278.78,61.9885,90,0.14,3,,,,,0,,0,,,,,16,up,99.977,98,97,76,0.001,0.001,0.001
5763,8.352,28.846,250.92,61.9885,64,-1,1,2,50.3,,FALSE,8.352,28.846,250.92,61.9885,64,0.92,2,,,,,0,,0,,,,,16,up,86.854,115,0.001,77,0.001,0.001,0.001
6867,7.63,26.882,233.85,61.9885,50,-1,1,2,74.9,,FALSE,7.63,26.882,233.85,61.9885,50,0.88,2,,,,,0,,0,,,,,16,up,88.043,68,82,0.001,0.001,0.001,0.001
6905,15.978,34.06,296.25,61.9885,50,-1,1,1,91.4,,FALSE,15.978,34.06,296.25,61.9885,50,1.73,1,,,,,0,,0,,,,,16,up,62.61,149,0.001,0.001,0.001,0.001,0.001
8797,15.223,38.435,334.3,61.9885,33,-1,1,1,33.1,,FALSE,15.223,38.435,334.3,61.9885,33,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,98,0.001,0.001,0.001,0.001
9221,10.485,27.031,235.14,61.9885,30,-1,1,1,35.5,,FALSE,10.485,27.031,235.14,61.9885,30,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,89,0.001,0.001,0.001,0.001
494,14.861,29.894,260.03,61.9886,1425,-1,1,3,99.6,,FALSE,14.861,29.894,260.03,61.9886,1425,1,3,,,,,0,,0,,,,,16,up,84.232,188,2979,1108,0.001,0.001,0.001
1079,13.872,33.916,295,61.9886,564,-1,1,1,99.4,,FALSE,13.872,33.916,295,61.9886,564,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,1693,0.001,0.001,0.001
2406,15.055,30.183,262.54,61.9886,209,-1,1,3,85.5,,FALSE,15.055,30.183,262.54,61.9886,209,0.4,3,,,,,0,,0,,,,,16,up,98.767,190,137,301,0.001,0.001,0.001
2763,15.69,36.053,313.59,61.9886,174,-1,1,3,71.7,,FALSE,15.69,36.053,313.59,61.9886,174,0.66,3,,,,,0,,0,,,,,16,up,94.164,87,304,131,0.001,0.001,0.001
2805,15.08,34.063,296.28,61.9886,170,-1,1,2,97.7,,FALSE,15.08,34.063,296.28,61.9886,170,0.89,2,,,,,0,,0,,,,,16,up,87.583,0.001,292,219,0.001,0.001,0.001
3301,15.038,35.534,309.08,61.9886,136,-1,1,3,42.8,,FALSE,15.038,35.534,309.08,61.9886,136,0.06,3,,,,,0,,0,,,,,16,up,99.999,141,127,141,0.001,0.001,0.001
4783,8.3,26.397,229.63,61.9886,84,-1,1,3,42.3,,FALSE,8.3,26.397,229.63,61.9886,84,0.1,3,,,,,0,,0,,,,,16,up,99.995,92,76,85,0.001,0.001,0.001
5120,7.104,25.93,225.57,61.9886,76,-1,1,2,34.8,,FALSE,7.104,25.93,225.57,61.9886,76,0.94,2,,,,,0,,0,,,,,16,up,85.985,143,86,0.001,0.001,0.001,0.001
5378,15.676,38.441,334.35,61.9886,71,-1,1,2,78.1,,FALSE,15.676,38.441,334.35,61.9886,71,0.87,2,,,,,0,,0,,,,,16,up,88.374,0.001,108,104,0.001,0.001,0.001
5509,14.526,31.148,270.93,61.9886,68,-1,1,2,79.5,,FALSE,14.526,31.148,270.93,61.9886,68,0.95,2,,,,,0,,0,,,,,16,up,85.679,75,129,0.001,0.001,0.001,0.001
5511,14.441,30.204,262.72,61.9886,68,-1,1,2,77.8,,FALSE,14.441,30.204,262.72,61.9886,68,0.87,2,,,,,0,,0,,,,,16,up,88.373,104,0.001,100,0.001,0.001,0.001
6962,16.188,35.757,311.02,61.9886,49,-1,1,1,50.9,,FALSE,16.188,35.757,311.02,61.9886,49,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,147,0.001,0.001,0.001
7501,15.776,30.1,261.82,61.9886,43,-1,1,1,35.5,,FALSE,15.776,30.1,261.82,61.9886,43,1.73,1,,,,,0,,0,,,,,16,up,62.61,130,0.001,0.001,0.001,0.001,0.001
7930,14.261,31.84,276.96,61.9886,39,-1,1,1,44.1,,FALSE,14.261,31.84,276.96,61.9886,39,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,118,0.001,0.001,0.001
7958,14.554,33.113,288.02,61.9886,39,-1,1,1,68.1,,FALSE,14.554,33.113,288.02,61.9886,39,1.73,1,,,,,0,,0,,,,,16,up,62.61,118,0.001,0.001,0.001,0.001,0.001
8124,9.466,27.676,240.75,61.9886,38,-1,1,2,85.2,,FALSE,9.466,27.676,240.75,61.9886,38,0.87,2,,,,,0,,0,,,,,16,up,88.36,55,0.001,58,0.001,0.001,0.001
9121,14.964,17.93,156,61.9886,30,-1,1,1,38.3,,FALSE,14.964,17.93,156,61.9886,30,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,91,0.001,0.001,0.001,0.001
10050,9.855,25.433,221.24,61.9886,25,-1,1,1,40.3,,FALSE,9.855,25.433,221.24,61.9886,25,1.73,1,,,,,0,,0,,,,,16,up,62.61,75,0.001,0.001,0.001,0.001,0.001
11030,8.183,27.976,243.36,61.9886,19,-1,1,1,32.4,,FALSE,8.183,27.976,243.36,61.9886,19,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,57,0.001,0.001,0.001
11087,7.924,29.426,255.96,61.9886,18,-1,1,1,30.3,,FALSE,7.924,29.426,255.96,61.9886,18,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,55,0.001,0.001,0.001
923,13.461,35.219,306.33,61.9887,679,-1,1,2,99.3,,FALSE,13.461,35.219,306.33,61.9887,679,1.62,2,,,,,0,,0,,,,,16,up,65.48,89,0.001,1949,0.001,0.001,0.001
1195,13.906,36.474,317.25,61.9887,497,-1,1,1,98.6,,FALSE,13.906,36.474,317.25,61.9887,497,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,1492,0.001,0.001,0.001
1928,14.563,31.986,278.22,61.9887,278,-1,1,3,99.8,,FALSE,14.563,31.986,278.22,61.9887,278,0.76,3,,,,,0,,0,,,,,16,up,91.505,86,505,244,0.001,0.001,0.001
1935,14.684,32.594,283.51,61.9887,277,-1,1,3,99.5,,FALSE,14.684,32.594,283.51,61.9887,277,0.82,3,,,,,0,,0,,,,,16,up,89.922,92,528,210,0.001,0.001,0.001
1978,10.22,23.109,201.04,61.9887,268,-1,1,2,99.9,,FALSE,10.22,23.109,201.04,61.9887,268,0.87,2,,,,,0,,0,,,,,16,up,88.174,0.001,372,431,0.001,0.001,0.001
2820,12.614,27.204,236.65,61.9887,169,-1,1,3,82.2,,FALSE,12.614,27.204,236.65,61.9887,169,0.58,3,,,,,0,,0,,,,,16,up,96.026,61,195,250,0.001,0.001,0.001
4001,14.555,33.426,290.75,61.9887,106,-1,1,3,47.8,,FALSE,14.555,33.426,290.75,61.9887,106,0.21,3,,,,,0,,0,,,,,16,up,99.88,80,120,117,0.001,0.001,0.001
4259,11.769,27.7,240.96,61.9887,97,-1,1,3,60.3,,FALSE,11.769,27.7,240.96,61.9887,97,0.22,3,,,,,0,,0,,,,,16,up,99.87,81,121,90,0.001,0.001,0.001
4291,15.93,30.257,263.19,61.9887,96,-1,1,2,43.9,,FALSE,15.93,30.257,263.19,61.9887,96,0.87,2,,,,,0,,0,,,,,16,up,88.34,149,139,0.001,0.001,0.001,0.001
4457,15.379,30.304,263.6,61.9887,92,-1,1,2,90.1,,FALSE,15.379,30.304,263.6,61.9887,92,0.97,2,,,,,0,,0,,,,,16,up,85.003,179,0.001,97,0.001,0.001,0.001
5108,4.804,25.872,225.06,61.9887,77,-1,1,3,83.3,,FALSE,4.804,25.872,225.06,61.9887,77,0.08,3,,,,,0,,0,,,,,16,up,99.997,72,74,84,0.001,0.001,0.001
5738,9.602,27.188,236.5,61.9887,64,-1,1,2,60.5,,FALSE,9.602,27.188,236.5,61.9887,64,0.87,2,,,,,0,,0,,,,,16,up,88.208,90,103,0.001,0.001,0.001,0.001
7604,15.268,30.113,261.94,61.9887,43,-1,1,1,35.2,,FALSE,15.268,30.113,261.94,61.9887,43,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,128,0.001,0.001,0.001,0.001
8004,15.822,41.533,361.24,61.9887,39,-1,1,1,33.9,,FALSE,15.822,41.533,361.24,61.9887,39,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,117,0.001,0.001,0.001
10372,12.357,28.172,245.06,61.9887,23,-1,1,1,45.4,,FALSE,12.357,28.172,245.06,61.9887,23,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,69,0.001,0.001,0.001
11155,16.149,7.113,61.95,61.9887,18,-1,1,1,64.7,,FALSE,16.149,7.113,61.95,61.9887,18,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,54,0.001,0.001,0.001,0.001
950,15.864,34.841,303.05,61.9888,660,-1,1,3,95.4,,FALSE,15.864,34.841,303.05,61.9888,660,0.75,3,,,,,0,,0,,,,,16,up,91.889,95,1000,885,0.001,0.001,0.001
2342,14.939,35.262,306.71,61.9888,217,-1,1,3,51.1,,FALSE,14.939,35.262,306.71,61.9888,217,0.34,3,,,,,0,,0,,,,,16,up,99.274,248,271,132,0.001,0.001,0.001
2761,14.676,34.907,303.63,61.9888,175,-1,1,3,70.4,,FALSE,14.676,34.907,303.63,61.9888,175,0.27,3,,,,,0,,0,,,,,16,up,99.686,227,134,163,0.001,0.001,0.001
3862,7.645,25.979,225.99,61.9888,110,-1,1,2,99.9,,FALSE,7.645,25.979,225.99,61.9888,110,1.34,2,,,,,0,,0,,,,,16,up,73.281,279,0.001,52,0.001,0.001,0.001
4368,9.749,28.039,243.9,61.9888,94,-1,1,3,61.1,,FALSE,9.749,28.039,243.9,61.9888,94,0.26,3,,,,,0,,0,,,,,16,up,99.75,118,70,93,0.001,0.001,0.001
4461,13.828,31.645,275.25,61.9888,92,-1,1,3,75.9,,FALSE,13.828,31.645,275.25,61.9888,92,0.12,3,,,,,0,,0,,,,,16,up,99.988,104,85,86,0.001,0.001,0.001
4674,15.386,31.125,270.74,61.9888,87,-1,1,2,42.1,,FALSE,15.386,31.125,270.74,61.9888,87,0.95,2,,,,,0,,0,,,,,16,up,85.836,97,164,0.001,0.001,0.001,0.001
5089,16.022,38.962,338.88,61.9888,77,-1,1,2,86.9,,FALSE,16.022,38.962,338.88,61.9888,77,0.98,2,,,,,0,,0,,,,,16,up,84.968,0.001,81,150,0.001,0.001,0.001
5292,11.654,33.435,290.82,61.9888,73,-1,1,1,37.2,,FALSE,11.654,33.435,290.82,61.9888,73,1.73,1,,,,,0,,0,,,,,16,up,62.61,218,0.001,0.001,0.001,0.001,0.001
5457,13.342,27.956,243.18,61.9888,69,-1,1,2,66.9,,FALSE,13.342,27.956,243.18,61.9888,69,0.87,2,,,,,0,,0,,,,,16,up,88.388,0.001,104,104,0.001,0.001,0.001
5538,6.233,26.673,232.03,61.9888,68,-1,1,2,56.9,,FALSE,6.233,26.673,232.03,61.9888,68,1.04,2,,,,,0,,0,,,,,16,up,83.006,140,63,0.001,0.001,0.001,0.001
5948,10.031,28.71,249.73,61.9888,61,-1,1,2,94.2,,FALSE,10.031,28.71,249.73,61.9888,61,0.88,2,,,,,0,,0,,,,,16,up,87.867,81,0.001,102,0.001,0.001,0.001
6025,15.757,40.554,352.73,61.9888,60,-1,1,2,46.4,,FALSE,15.757,40.554,352.73,61.9888,60,0.93,2,,,,,0,,0,,,,,16,up,86.462,70,0.001,110,0.001,0.001,0.001
6222,14.685,29.232,254.27,61.9888,57,-1,1,2,84.4,,FALSE,14.685,29.232,254.27,61.9888,57,0.87,2,,,,,0,,0,,,,,16,up,88.125,0.001,79,93,0.001,0.001,0.001
6365,15.779,40.91,355.82,61.9888,55,-1,1,1,62,,FALSE,15.779,40.91,355.82,61.9888,55,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,166,0.001,0.001,0.001
7022,10.055,32.025,278.56,61.9888,48,-1,1,2,87.4,,FALSE,10.055,32.025,278.56,61.9888,48,0.88,2,,,,,0,,0,,,,,16,up,88.07,0.001,79,66,0.001,0.001,0.001
9123,12.171,28.975,252.04,61.9888,30,-1,1,1,60.8,,FALSE,12.171,28.975,252.04,61.9888,30,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,91,0.001,0.001,0.001
10430,11.026,28.708,249.72,61.9888,22,-1,1,1,44.5,,FALSE,11.026,28.708,249.72,61.9888,22,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,67,0.001,0.001,0.001
10832,7.769,28.358,246.68,61.9888,20,-1,1,1,33,,FALSE,7.769,28.358,246.68,61.9888,20,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,60,0.001,0.001,0.001
10935,8.579,8.364,72.82,61.9888,19,-1,1,1,66.6,,FALSE,8.579,8.364,72.82,61.9888,19,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,58,0.001,0.001,0.001,0.001
1669,14.279,37.666,327.61,61.9889,333,-1,1,2,84.4,,FALSE,14.279,37.666,327.61,61.9889,333,1.5,2,,,,,0,,0,,,,,16,up,68.773,92,0.001,907,0.001,0.001,0.001
1805,8.65,29.362,255.41,61.9889,301,-1,1,3,99.7,,FALSE,8.65,29.362,255.41,61.9889,301,1.29,3,,,,,0,,0,,,,,16,up,74.863,751,66,87,0.001,0.001,0.001
1886,15.855,36.847,320.49,61.9889,285,-1,1,3,96.8,,FALSE,15.855,36.847,320.49,61.9889,285,0.72,3,,,,,0,,0,,,,,16,up,92.5,75,293,488,0.001,0.001,0.001
2826,14.252,38.735,336.91,61.9889,168,-1,1,2,93.8,,FALSE,14.252,38.735,336.91,61.9889,168,1.36,2,,,,,0,,0,,,,,16,up,72.844,0.001,76,428,0.001,0.001,0.001
3496,14.932,32.836,285.62,61.9889,127,-1,1,3,39.1,,FALSE,14.932,32.836,285.62,61.9889,127,0.22,3,,,,,0,,0,,,,,16,up,99.856,112,159,109,0.001,0.001,0.001
5793,9.936,29.269,254.6,61.9889,63,-1,1,3,80.4,,FALSE,9.936,29.269,254.6,61.9889,63,0.13,3,,,,,0,,0,,,,,16,up,99.983,54,68,68,0.001,0.001,0.001
6255,15.58,31.52,274.17,61.9889,57,-1,1,2,47.5,,FALSE,15.58,31.52,274.17,61.9889,57,0.9,2,,,,,0,,0,,,,,16,up,87.321,99,71,0.001,0.001,0.001,0.001
6388,14.372,27.379,238.17,61.9889,55,-1,1,1,64.7,,FALSE,14.372,27.379,238.17,61.9889,55,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,0.001,166,0.001,0.001,0.001
6605,14.307,30.217,262.84,61.9889,53,-1,1,2,62.9,,FALSE,14.307,30.217,262.84,61.9889,53,1,2,,,,,0,,0,,,,,16,up,84.271,105,0.001,53,0.001,0.001,0.001
6619,14.36,32.891,286.1,61.9889,53,-1,1,2,69.6,,FALSE,14.36,32.891,286.1,61.9889,53,0.87,2,,,,,0,,0,,,,,16,up,88.388,79,79,0.001,0.001,0.001,0.001
